Country,Year,Code,Happiness,Happiness Binary,PPP per capita,Unemployment Percent,Political Stability,Rule of Law,Voice and Accountability,Labor force female,Male Life Expectancy,Female Life Expectancy,MMR,Adolescent fertility,Tuberculosis
Croatia,2014,344,5.381,0,20364.41,17.29,0.619,0.32,0.515,61.40800095,74.6,80.5,9,10.2732,13
Czech Republic,2014,316,6.484,1,29119.62,6.11,0.99,1.152,1.027,65.60500336,75.8,82,4,10.6262,5.1
Denmark,2014,390,7.508,1,45057.07,6.59,0.952,2.096,1.525,74.91100311,78.7,82.8,7,4.3108,5.9
Dominican Republic,2014,42,5.387,0,12663.04,6.4,0.146,-0.406,0.189,57.56800079,70.444,76.742,98,98.3628,53
Ecuador,2014,130,5.946,1,6890.72,4.16,-0.019,-1.058,-0.202,51.23600006,73.169,78.685,66,75.9618,41
El Salvador,2014,92,5.857,1,10901.42,3.48,-0.025,-0.476,0.153,51.37900162,68.287,77.447,54,71.8926,44
Estonia,2014,366,5.556,1,27113.69,7.35,0.78,1.373,1.17,71.49199677,72.4,81.9,9,14.7286,21
Finland,2014,375,7.385,1,39017.54,8.66,1.282,2.1,1.542,48.27127195,78.4,84.1,3,7.1614,5.3
France,2014,220,6.467,1,37523.73,10.3,0.301,1.475,1.218,46.84038681,79.5,86,9,9.1206,8.5
Gabon,2014,481,3.918,0,16678.52,20.08,0.15,-0.509,-0.866,39.87619532,63.764,66.714,295,104.85,541
Georgia,2014,372,4.288,0,8749.16,12.35,-0.322,0.191,0.285,45.69137431,68.666,77.183,37,49.35,106
Germany,2014,255,6.984,1,43560.62,4.98,0.925,1.857,1.436,46.21007294,78.7,83.6,6,7.4518,6.1
Ghana,2014,452,3.86,0,3828.11,2.16,-0.107,0.052,0.463,49.61604395,61.165,63.11,322,69.71,165
Greece,2014,350,4.756,0,24081.63,26.49,-0.14,0.363,0.619,43.27303101,78.8,84.1,3,8.0126,4.9
Guatemala,2014,90,6.536,1,7147.42,2.91,-0.656,-0.962,-0.338,34.32939435,69.643,76.037,93,75.5146,25
Guinea,2014,438,3.412,0,1734.74,4.53,-0.955,-1.361,-0.858,48.92721603,58.341,59.333,688,141.6414,177
Haiti,2014,41,3.889,0,1652.86,13.94,-0.644,-1.185,-0.791,47.90029083,60.619,64.912,367,39.739,200
Honduras,2014,91,5.056,0,4231.33,5.49,-0.534,-0.945,-0.409,36.21125545,70.666,75.717,132,74.9722,40
Hungary,2014,310,5.181,0,24161.43,7.73,0.67,0.502,0.553,45.8536206,72.3,79.4,16,20.0602,9.4
India,2014,750,4.424,0,5385.14,3.41,-0.998,-0.063,0.413,24.37846733,66.611,69.561,181,27.4582,223
Indonesia,2014,850,5.597,1,14838.38,8.2,-0.417,-0.342,0.154,37.54717941,66.848,70.99,133,49.2346,329
Iraq,2014,645,4.542,0,10003.09,4.05,-2.48,-1.335,-1.144,19.74956557,67.25,71.71,50,79.125,43
Ireland,2014,205,7.018,1,48898.33,11.26,1.053,1.779,1.318,44.45772222,79.3,83.5,8,11.0816,7.3
Israel,2014,666,7.401,1,31702.08,5.89,-1.04,1.108,0.728,47.05311968,80.3,84.1,5,10.6122,5.2
Italy,2014,325,6.027,1,33945.84,12.68,0.458,0.377,0.999,42.07712164,80.7,85.6,4,6.2686,6.7
Japan,2014,740,5.923,1,37337.32,3.58,0.969,1.602,1.036,42.6003109,80.5,86.83,6,4.3186,18
Jordan,2014,663,5.333,0,8622.19,11.9,-0.54,0.464,-0.754,17.44446294,72.403,75.769,59,24.977,5.5
Kazakhstan,2014,705,5.97,1,23587.34,5.06,0.036,-0.598,-1.184,48.68499431,67.12,75.94,12,30.2514,91
Kenya,2014,501,4.905,0,2753.14,11.67,-1.282,-0.417,-0.145,48.11820782,63.86,68.645,525,84.3968,423
Kuwait,2014,690,6.18,1,70832.37,2.9,0.149,0.022,-0.657,28.46827557,73.603,75.695,4,10.2036,22
Latvia,2014,367,5.729,1,22172.13,10.85,0.487,0.872,0.849,49.56264662,69.1,79.4,18,14.5586,42
Lebanon,2014,660,5.233,0,13828.37,6.61,-1.698,-0.766,-0.42,24.10591942,77.597,81.142,16,12.8866,14
Lithuania,2014,368,6.126,1,26258.1,10.7,0.742,0.939,0.962,50.17675788,69.2,80.1,10,12.81,58
Luxembourg,2014,212,6.891,1,93655.33,5.85,1.378,1.906,1.555,44.15952023,79.4,85.2,10,5.9212,5
Madagascar,2014,580,3.676,0,1372.02,1.19,-0.557,-0.74,-0.5,49.03609521,63.614,66.663,369,115.8552,235
Malawi,2014,553,4.563,0,1090.37,5.94,0.081,-0.286,-0.064,47.96427723,59.361,64.395,638,142.551,227
Malaysia,2014,820,5.963,1,24194.63,2.87,0.267,0.588,-0.36,37.61931531,72.842,77.376,41,13.255,92
Mali,2014,432,3.975,0,1865.16,6.38,-1.714,-0.644,-0.161,42.96263337,56.335,57.671,601,174.9938,58
Malta,2014,338,6.452,1,31839.28,5.8,1.125,1.194,1.184,38.02238675,79.8,84.2,9,17.1568,12
Mauritania,2014,435,4.483,0,3655.39,10.02,-0.59,-0.86,-0.895,31.16725808,61.44,64.372,629,83.0676,111
Mexico,2014,70,6.68,1,16615.98,4.83,-0.854,-0.423,0,36.08095376,74.326,79.191,39,63.6876,21
Moldova,2014,359,5.917,1,4762.78,3.86,-0.159,-0.248,0.012,36.08095376,67.009,75.522,24,24.1736,115
Mongolia,2014,712,4.825,0,11348.65,4.8,0.792,-0.345,0.241,45.55099079,64.867,73.099,46,25.4248,428
Montenegro,2014,341,5.283,0,14795.55,18,0.219,0.082,0.16,44.46493499,74.313,79.081,7,12.7168,21
Nepal,2014,790,4.975,0,2266.18,3,-0.725,-0.65,-0.43,51.50178441,67.978,71.096,275,65.2856,158
Netherlands,2014,210,7.321,1,45668.44,7.42,1.045,1.98,1.547,45.73649824,80,83.5,7,4.266,5.5
New Zealand,2014,920,7.306,1,34455.33,5.38,1.468,2.009,1.524,47.25598439,79.6,83.3,11,21.7662,7.5
Nicaragua,2014,93,6.275,1,4784.83,4.52,-0.041,-0.712,-0.396,38.24964543,71.804,77.89,154,89.8288,55
Niger,2014,436,4.181,0,904.46,0.36,-1.176,-0.646,-0.195,43.49308567,58.301,60.227,574,198.059,98
Pakistan,2014,770,5.436,0,4576.23,1.83,-2.401,-0.76,-0.716,21.52528622,65.217,67.128,184,39.2576,270
Panama,2014,95,6.631,1,20017.99,4.82,0.209,-0.06,0.506,38.62459639,74.643,80.757,97,84.8478,47
Paraguay,2014,150,5.119,0,10948.62,5.03,-0.089,-0.673,-0.103,39.7237288,70.849,75.12,134,58.4222,39
Peru,2014,135,5.866,1,11547.83,2.96,-0.551,-0.521,0.193,45.55447426,71.9,77.2,70,50.2702,121
Philippines,2014,840,5.313,0,6585.9,3.6,-0.714,-0.317,0.159,39.5116307,65.557,72.349,117,58.567,546
Poland,2014,290,5.75,1,24355.4,8.99,0.843,0.841,1.105,45.16178201,73.7,81.7,3,13.6822,20
Portugal,2014,235,5.127,0,26023.7,13.89,0.806,1.138,1.107,48.66403924,78,84.4,10,10.9298,24
Romania,2014,360,5.727,1,19801.88,6.8,0.049,0.165,0.428,43.92422245,71.4,78.7,31,35.0364,86
Rwanda,2014,517,3.596,0,1633.34,1.17,-0.313,0.057,-1.112,51.40222355,64.087,68.241,304,28.8892,63
Saudi Arabia,2014,670,6.278,1,49958.44,5.72,-0.286,0.132,-1.882,15.61661818,72.953,75.914,12,9.352,12
Senegal,2014,433,4.395,0,2828.41,6.36,-0.198,-0.082,0.292,41.12592312,64.371,68.239,323,79.2342,134
Serbia,2014,272,5.113,0,13112.83,19.22,0.184,-0.15,0.213,43.72062904,72.8,78,17,20.1456,24
Sierra Leone,2014,451,4.5,0,1692.14,4.68,-0.104,-0.922,-0.287,50.25999121,50.407,51.505,1410,121.0864,310
Singapore,2014,830,7.062,1,80903.53,2.8,1.186,1.825,-0.099,44.59970872,80.3,84.8,10,3.8166,46
Slovenia,2014,317,5.678,1,28417.66,9.67,0.966,1.002,0.956,46.01561185,78.2,84.1,9,4.5714,7.9
South Africa,2014,560,4.828,0,12389.71,24.9,-0.146,0.183,0.642,44.87314908,57.526,64.555,140,47.712,820
Spain,2014,230,6.456,1,31195.41,24.44,0.243,0.953,0.994,45.90015656,80.4,86.2,5,8.838,12
Sri Lanka,2014,780,4.268,0,10650.39,4.4,-0.33,-0.17,-0.667,33.70667724,71.521,78.273,31,16.3014,65
Sweden,2014,380,7.239,1,44167.63,7.92,1.065,1.992,1.611,47.51406783,80.4,84.2,4,5.3434,7.5
Tajikistan,2014,702,4.896,0,2546.34,10.47,-0.693,-1.011,-1.495,38.9798055,67.986,73.81,33,37.9184,91
Tanzania,2014,510,3.483,0,2402.1,2.12,-0.597,-0.395,-0.192,48.88898162,62.258,66.072,418,119.6518,327
Thailand,2014,800,6.985,1,14857.2,0.58,-0.906,-0.191,-0.875,45.73340385,71.166,78.747,21,51.6782,167
Tunisia,2014,616,4.764,0,10767.03,15.06,-0.852,-0.11,0.193,26.86009885,73.328,77.4,63,7.6152,35
Turkey,2014,640,5.58,1,22401.87,9.88,-1.086,0.005,-0.338,31.04970509,71.958,78.506,17,29.085,20
Turkmenistan,2014,701,5.787,1,14332.37,3.58,0.074,-1.365,-2.259,42.05006523,64.138,71.011,43,25.6402,58
Uganda,2014,500,3.77,0,1637.28,1.91,-0.941,-0.388,-0.585,47.7060309,57.048,61.369,356,118.5896,202
Ukraine,2014,369,4.297,0,8243.47,9.27,-2.021,-0.791,-0.142,47.40052755,66.25,76.37,24,26.3078,94
United Arab Emirates,2014,696,6.54,1,63943.19,2.28,0.769,0.652,-1.061,11.85814932,76.264,78.448,6,27.9242,0.76
United Kingdom,2014,200,6.758,1,38251.79,6.11,0.415,1.89,1.276,46.40047097,79.5,83.2,9,15.6456,11
United States,2014,2,7.151,1,51921.98,6.17,0.582,1.61,1.071,45.95016058,76.5,81.3,14,24.267,3.2
Uruguay,2014,165,6.561,1,19827.56,6.55,0.992,0.711,1.108,44.96206094,73.506,80.632,15,56.6808,29
Uzbekistan,2014,704,6.049,1,5370.87,8,-0.273,-1.13,-1.913,41.76239578,68.329,73.791,37,17.1198,82
Vietnam,2014,816,5.085,0,5264.83,1.87,-0.022,-0.36,-1.375,48.30816805,71.067,80.555,54,32.5498,140
Zambia,2014,551,4.346,0,3632.5,7.78,0.156,-0.237,-0.11,47.63014137,58.389,63.158,231,92.2824,406
Zimbabwe,2014,552,4.184,0,2209.68,5.14,-0.714,-1.431,-1.257,49.17396739,57.657,60.911,401,109.2926,278
Afghanistan,2013,700,3.572,0,1838.41,8.45,-2.519,-1.597,-1.24,17.51300049,61.286,63.778,459,81.7908,189
Albania,2013,339,4.551,0,10492.68,15.64,0.092,-0.518,0.049,51.4109993,75.671,79.927,29,20.7174,19
Argentina,2013,160,6.582,1,19482.19,7.1,0.065,-0.708,0.277,55.68000031,72.237,79.899,54,63.7388,24
Armenia,2013,371,4.277,0,7727.93,16.18,0.11,-0.344,-0.588,58.65999985,70.689,77.091,28,26.405,60
Australia,2013,900,7.364,1,43118.09,5.66,1.031,1.779,1.436,70.39399719,80.1,84.3,6,14.4212,6.2
Austria,2013,305,7.499,1,44301.1,5.33,1.364,1.851,1.457,70.83200073,78.6,83.8,4,8.15,8.4
Azerbaijan,2013,373,5.481,0,16593.19,4.97,-0.413,-0.724,-1.403,66.66100311,68.638,74.672,25,49.876,78
Bahrain,2013,692,6.69,1,42680.2,1.21,-1.335,0.331,-1.317,44.89699936,75.674,77.542,15,13.868,18
Bangladesh,2013,771,4.66,0,2835.77,4.43,-1.628,-0.867,-0.405,32.91699982,69.968,73.104,201,87.1072,221
Belarus,2013,370,5.876,1,17644.85,0.51,0.006,-0.901,-1.544,73.47100067,67.3,77.9,4,20.4384,59
Belgium,2013,211,7.104,1,40928.14,8.43,0.94,1.438,1.373,62.11399841,78.1,83.2,7,5.7988,9.3
Benin,2013,434,3.479,0,1934.65,2.64,0.301,-0.569,0.155,69.63700104,58.637,61.547,422,94.3112,64
Bolivia,2013,145,5.767,1,6090.7,2.39,-0.329,-1.046,-0.069,60.62900162,65.532,70.422,222,71.6922,123
Bosnia and Herzegovina,2013,346,5.124,0,10284.73,27.45,-0.405,-0.152,-0.116,44.59999847,73.804,78.901,12,11.6494,44
Botswana,2013,571,4.128,0,15239.74,17.72,1.102,0.596,0.489,67.0759964,60.617,66.631,139,36.9268,414
Brazil,2013,140,7.14,1,15432.89,6.99,-0.259,-0.08,0.417,58.45800018,71.11,78.462,48,65.9186,44
Bulgaria,2013,355,3.993,0,15938.88,12.94,0.171,-0.102,0.337,64.48999786,71.3,78.6,11,42.6728,33
Burkina Faso,2013,439,3.326,0,1562.31,6,-0.763,-0.53,-0.255,60.13399887,58.255,59.496,389,113.1922,54
Cambodia,2013,811,3.674,0,2964.2,0.3,-0.136,-1.004,-0.981,83.51000214,65.729,69.827,173,49.0882,400
Cameroon,2013,471,4.271,0,3100.17,4.28,-0.532,-1.051,-1.037,71.84500122,55.441,57.903,619,117.9272,235
Canada,2013,20,7.594,1,42339.38,7.07,1.061,1.756,1.453,74.58999634,79.794,83.849,7,10.9476,5.3
Chad,2013,483,3.508,0,2007.08,5.69,-1.089,-1.382,-1.375,65.27799988,50.635,52.93,901,174.794,151
Chile,2013,155,6.74,1,21998.31,6.21,0.364,1.368,1.106,55.72600174,76.271,81.415,23,49.416,16
China,2013,710,5.241,0,11951.25,4.54,-0.544,-0.525,-1.631,69.30899811,74.322,77.342,29,6.7856,70
Colombia,2013,100,6.607,1,12208.59,9.19,-1.292,-0.406,-0.081,62.95100021,70.29,77.493,67,55.617,31
"Congo, Rep",2013,484,3.955,0,5317.09,10,-0.475,-1.113,-1.118,68.78900146,61.354,64.462,469,120.9054,382
Costa Rica,2013,94,7.158,1,14035.29,8.96,0.678,0.552,1.078,51.82099915,76.814,81.77,26,57.943,11
Croatia,2013,344,5.885,1,20299.39,17.25,0.643,0.292,0.514,58.57300186,74.2,80.2,9,10.7226,14
Czech Republic,2013,316,6.698,1,28379.75,6.95,1.085,1.04,0.985,64.98600006,75.2,81.3,4,10.8366,5.1
Denmark,2013,390,7.589,1,44564.45,7,0.959,1.9,1.666,75.43299866,78.3,82.4,7,4.3734,6.7
Dominican Republic,2013,42,5.016,0,11907.2,7.07,0.207,-0.532,0.115,56.67499924,70.257,76.551,106,99.4934,54
Ecuador,2013,130,6.019,1,6789.86,3.69,-0.179,-0.968,-0.253,52.27600098,72.939,78.483,70,76.6434,42
El Salvador,2013,92,6.325,1,10665.46,3.08,-0.034,-0.619,-0.013,51.92599869,68.02,77.201,55,72.7038,44
Estonia,2013,366,5.367,0,26282.91,8.63,0.748,1.198,1.117,71.96199799,72.8,81.7,9,15.4298,23
Finland,2013,375,7.445,1,39428.31,8.19,1.385,1.937,1.574,48.15247354,78,84.1,3,7.2922,5.6
France,2013,220,6.667,1,37350.28,9.92,0.449,1.427,1.219,46.75349432,79,85.6,9,9.2798,8.9
Gabon,2013,481,3.8,0,16502.8,20.19,0.33,-0.54,-0.863,39.75316466,63.346,66.062,308,108.033,546
Georgia,2013,372,4.349,0,8254.01,14.56,-0.441,-0.006,0.139,45.68235613,68.557,77.047,38,50.499,116
Germany,2013,255,6.965,1,42914.48,5.23,0.928,1.65,1.406,46.11640271,78.1,83,6,7.7574,5.9
Ghana,2013,452,4.965,0,3807.34,2.17,0.061,0.149,0.439,49.64314299,60.893,62.794,321,70.743,168
Greece,2013,350,4.72,0,23746.08,27.47,-0.171,0.465,0.687,42.84551029,78.7,84,3,8.2758,5
Guatemala,2013,90,5.985,1,7005.04,3.32,-0.674,-1.083,-0.367,34.49198183,69.335,75.729,99,77.0428,27
Guinea,2013,438,3.902,0,1711.71,4.54,-1.23,-1.375,-1.022,48.8966689,57.764,58.821,695,143.7572,177
Haiti,2013,41,4.622,0,1629.36,13.85,-0.631,-1.294,-0.749,47.79001436,60.308,64.572,370,40.502,206
Honduras,2013,91,4.713,0,4177.58,4.1,-0.439,-1.165,-0.475,34.89456784,70.488,75.514,135,76.3666,43
Hungary,2013,310,4.914,0,23119.02,10.18,0.797,0.583,0.737,45.86657572,72.2,79.1,16,20.1876,12
India,2013,750,4.428,0,5073.61,3.46,-1.229,-0.057,0.433,24.2352897,66.353,69.195,189,28.9196,228
Indonesia,2013,850,5.292,0,15223.58,8.06,-0.519,-0.531,0.036,37.49496223,66.68,70.811,140,49.8548,332
Iraq,2013,645,4.725,0,9643.27,4.34,-2.011,-1.45,-1.057,19.83731252,66.954,71.549,50,78.788,45
Ireland,2013,205,6.76,1,45470.16,13.04,0.901,1.732,1.312,44.54662178,79,83.1,8,11.5548,8.7
Israel,2013,666,7.321,1,31250.8,6.21,-1.101,0.978,0.649,46.69305284,80.3,83.9,5,11.0776,4.5
Italy,2013,325,6.009,1,34219.83,12.15,0.495,0.403,0.954,41.87132177,80.3,85.2,4,6.3248,5.8
Japan,2013,740,5.959,1,37148.6,4.03,1.019,1.444,1.11,42.34851948,80.21,86.61,6,4.3988,18
Jordan,2013,663,5.172,0,8756.71,12.6,-0.606,0.393,-0.807,17.37628965,72.274,75.601,59,25.823,5.2
Kazakhstan,2013,705,5.835,1,22972.43,5.2,-0.402,-0.692,-1.243,48.80050963,65.75,75.06,13,31.1692,104
Kenya,2013,501,3.795,0,2682.95,11.77,-1.167,-0.711,-0.212,47.91631085,63.326,67.994,540,85.6994,443
Kuwait,2013,690,6.48,1,74084.52,3.43,0.166,0.366,-0.658,28.44922868,73.506,75.541,4,10.6078,22
Latvia,2013,367,5.07,0,21563.61,11.87,0.594,0.768,0.77,49.94271602,69.3,78.9,18,14.9238,49
Lebanon,2013,660,4.983,0,14402.3,6.58,-1.69,-0.776,-0.405,24.06563926,77.403,80.985,16,13.2418,15
Lithuania,2013,368,5.596,1,25143.81,11.77,0.965,0.836,0.94,50.13613752,68.5,79.6,10,13.519,60
Luxembourg,2013,212,7.131,1,90656.38,5.85,1.335,1.816,1.631,44.06838892,79.8,83.9,10,6.1626,8
Madagascar,2013,580,3.816,0,1364.35,0.89,-0.66,-0.913,-0.763,49.27731072,63.212,66.225,384,117.9436,233
Malawi,2013,553,4.035,0,1062.17,5.95,-0.206,-0.162,-0.179,47.86716506,58.524,63.408,636,143.323,261
Malaysia,2013,820,5.77,1,23224.19,3.11,0.052,0.436,-0.34,37.08995259,72.662,77.2,43,13.202,91
Mali,2013,432,3.676,0,1793.72,7.3,-1.722,-0.749,-0.285,42.04775275,55.901,57.203,610,176.9494,60
Malta,2013,338,6.38,1,30043.62,6.39,1.043,1.333,1.157,37.37481577,79.6,84,9,17.3344,14
Mauritania,2013,435,4.199,0,3565.52,10.08,-1.015,-0.998,-0.959,31.05667674,61.25,64.165,655,84.3498,115
Mexico,2013,70,7.443,1,16385.06,4.94,-0.714,-0.544,0.108,36.54601899,74.146,79.019,41,64.8288,21
Moldova,2013,359,5.756,1,4541.87,5.1,0.001,-0.372,-0.071,36.54601899,66.747,75.188,24,24.9128,127
Mongolia,2013,712,4.913,0,10720.06,4.23,0.491,-0.371,0.109,45.61895853,64.594,72.806,49,26.0224,428
Montenegro,2013,341,5.074,0,14548.05,19.5,0.505,0.045,0.178,44.44359514,74.04,78.786,7,13.0234,22
Morocco,2013,600,5.142,0,6995.94,9.23,-0.493,-0.248,-0.699,26.05987575,73.836,76.161,131,33.4254,99
Nepal,2013,790,4.605,0,2163.95,3.3,-1.129,-0.718,-0.529,51.29741816,67.625,70.686,291,66.8868,159
Netherlands,2013,210,7.407,1,45191.49,7.24,1.144,1.835,1.567,45.97306671,79.5,83.2,7,4.357,5.7
New Zealand,2013,920,7.28,1,33782.1,5.76,1.454,1.879,1.606,47.17189198,79.7,83.2,12,22.3476,6.9
Nicaragua,2013,93,5.772,1,4618.73,5.28,-0.249,-0.675,-0.458,38.1301349,71.522,77.623,159,91.3064,58
Niger,2013,436,3.716,0,874.08,0.34,-1.322,-0.66,-0.306,43.51132547,57.831,59.692,596,200.084,102
Pakistan,2013,770,5.138,0,4464.09,2.95,-2.603,-0.857,-0.799,21.15886273,65.022,66.901,190,40.0408,275
Panama,2013,95,6.866,1,19377.91,4.1,-0.141,-0.216,0.424,38.31728975,74.438,80.577,99,85.8544,47
Paraguay,2013,150,5.936,1,10581.33,4.38,-0.736,-0.808,-0.105,40.66093035,70.734,74.977,136,59.3316,40
Peru,2013,135,5.783,1,11430.26,3.24,-0.806,-0.566,0.085,45.74861947,71.678,76.985,72,51.2046,122
Philippines,2013,840,4.977,0,6306.75,3.5,-1.084,-0.403,0.006,39.2796084,65.433,72.202,121,57.923,543
Poland,2013,290,5.746,1,23555.5,10.33,0.973,0.819,0.998,45.09461666,73,81.2,3,14.0076,21
Portugal,2013,235,5.158,0,25654.61,16.18,0.749,1.059,1.067,48.5112194,77.6,84,10,11.4404,26
Romania,2013,360,5.082,0,19077.16,7.1,0.179,0.125,0.312,43.98992715,71.6,78.7,31,35.6942,89
Rwanda,2013,517,3.466,0,1556.06,2.27,-0.111,-0.155,-1.211,51.36013651,63.551,67.593,318,29.9426,64
Saudi Arabia,2013,670,6.495,1,49537.59,5.57,-0.432,0.157,-1.876,15.46415999,72.787,75.721,12,9.881,13
Senegal,2013,433,3.647,0,2732.96,7.69,-0.061,-0.239,0.06,41.12300309,63.97,67.723,335,81.4176,136
Serbia,2013,272,5.102,0,13294.88,22.15,-0.076,-0.326,0.285,43.50115478,72.6,77.9,17,20.5658,27
Sierra Leone,2013,451,4.514,0,1655.12,4.63,-0.175,-0.859,-0.343,50.26961328,49.854,50.958,1460,123.8392,313
Singapore,2013,830,6.533,1,78896.61,2.79,1.378,1.706,0.037,44.24585581,80.1,84.5,11,3.8628,46
Slovenia,2013,317,5.975,1,27622.69,10.1,0.882,1.001,1.002,45.74724275,77.2,83.6,9,4.7032,7.7
South Africa,2013,560,3.661,0,12339.73,24.57,-0.046,0.158,0.601,44.83361684,56.463,63.304,145,49.356,849
Spain,2013,230,6.15,1,30678.92,26.09,0.012,1.021,0.989,45.71164452,80.2,86.1,5,8.918,13
Sri Lanka,2013,780,4.365,0,10238.71,4.44,-0.613,-0.277,-0.594,33.93979149,71.351,78.133,32,17.0392,66
Sweden,2013,380,7.434,1,43475.8,8.01,1.128,1.973,1.658,47.46541049,80.2,83.8,4,5.3782,7.3
Tajikistan,2013,702,4.967,0,2440.28,10.61,-1.182,-1.253,-1.504,39.1424339,67.789,73.595,34,38.4192,100
Tanzania,2013,510,3.852,0,2316.44,2.93,-0.162,-0.473,-0.204,49.51117445,61.45,65.254,438,121.1804,336
Thailand,2013,800,6.231,1,14771.47,0.49,-1.312,-0.121,-0.43,45.69838216,70.974,78.505,21,51.6206,170
Tunisia,2013,616,5.246,0,10579.12,15.93,-0.903,-0.189,-0.084,26.95462048,73.146,77.263,64,7.6026,34
Turkey,2013,640,4.888,0,21650.75,8.73,-1.25,0.067,-0.251,31.21852081,71.678,78.275,18,30.164,20
Turkmenistan,2013,701,5.392,0,13236.04,3.63,0.249,-1.387,-2.216,42.12148207,63.956,70.84,44,26.0476,71
Uganda,2013,500,3.71,0,1610.81,1.91,-0.839,-0.341,-0.552,47.6154348,56.71,60.89,372,122.6188,203
Ukraine,2013,369,4.711,0,8338.92,7.17,-0.777,-0.804,-0.315,47.65290258,66.34,76.22,24,27.1304,96
United Arab Emirates,2013,696,6.621,1,61688.38,2.62,0.895,0.619,-1.019,11.69592064,76.115,78.288,6,27.7726,1
United Kingdom,2013,200,6.918,1,37398.8,7.53,0.486,1.705,1.329,46.26327175,79.2,82.9,9,16.6948,13
United States,2013,2,7.249,1,51003.69,7.38,0.643,1.557,1.103,45.89433899,76.4,81.2,14,26.093,3.3
Uruguay,2013,165,6.444,1,19270.58,6.44,0.805,0.564,1.085,44.52647821,73.341,80.503,16,57.3324,30
Uzbekistan,2013,704,5.94,1,5067.36,8.06,-0.536,-1.227,-1.967,41.82407198,68.128,73.607,37,17.3184,86
Vietnam,2013,816,5.023,0,5024.44,1.95,0.251,-0.515,-1.366,48.36061975,70.839,80.405,55,34.3054,144
Zambia,2013,551,5.244,0,3576.68,7.82,0.436,-0.268,-0.106,47.55960573,57.708,62.243,237,95.4372,437
